color_id,R,G,B,CAM16_J_UCS,CAM16_a_UCS,CAM16_b_UCS
606,0,55,66,22.37257964,-14.82400866,-11.3740967
607,5,53,72,22.504559,-11.25836273,-14.72517119
608,25,51,75,22.71765037,-5.649517134,-16.66017976
609,44,47,76,23.04808809,3.463943945,-16.48810004
610,57,43,72,23.3308191,10.84620417,-12.89143731
611,64,40,67,23.48869966,14.5081972,-9.333043593
612,70,39,60,23.60119263,16.84642606,-5.322920029
613,74,37,54,23.67044809,18.08853132,-1.742858043
614,130,85,88,44.50961103,16.53980213,4.122814411
615,131,85,79,44.49553031,15.67251155,7.389184327
616,130,86,69,44.38255025,12.88669237,11.05114412
617,125,89,58,44.17844673,8.426673116,14.44375815
618,116,94,51,43.88741355,2.404399924,17.00258483
619,106,97,47,43.60855697,-3.349668364,18.23616641
